,year,month,day,hour,minutes,lat,lon,depth,mb,ms
0,1992.0,6.0,30.0,21.0,49.0,33.9679,1992.0,16.0,n.a,4.0
1,2006.0,5.0,27.0,10.0,21.0,32.3929,2006.0,26.4,n.a,3.4
2,2006.0,5.0,28.0,7.0,40.0,32.3636,2006.0,2.1,n.a,3.5
3,2007.0,4.0,24.0,21.0,8.0,38.7514,2007.0,10.2,n.a,4.0
4,2008.0,4.0,22.0,20.0,40.0,41.2055,2008.0,10.4,n.a,4.2
5,2008.0,4.0,23.0,1.0,55.0,34.8563,2008.0,6.3,n.a,4.4
6,2008.0,12.0,28.0,5.0,17.0,32.5624,2008.0,29.3,n.a,3.9
7,2009.0,4.0,12.0,9.0,41.0,32.1302,2009.0,16.3,n.a,3.2
8,2010.0,3.0,31.0,9.0,20.0,32.3448,2010.0,14.7,n.a,3.6
9,2010.0,4.0,9.0,5.0,32.0,32.1958,2010.0,14.7,n.a,3.3
10,2010.0,6.0,2.0,16.0,7.0,32.1333,2010.0,16.1,n.a,3.2
11,2010.0,6.0,15.0,8.0,14.0,32.6373,2010.0,10.2,n.a,3.2
12,2010.0,7.0,6.0,16.0,38.0,32.2394,2010.0,12.8,n.a,3.2
13,2010.0,8.0,29.0,15.0,53.0,32.2124,2010.0,12.7,n.a,3.4
14,2010.0,12.0,15.0,19.0,16.0,33.0364,2010.0,12.8,n.a,3.4
15,2011.0,5.0,12.0,16.0,23.0,38.3937,2011.0,2.3,n.a,3.1
16,2011.0,7.0,15.0,10.0,37.0,32.1035,2011.0,10.1,n.a,3.3
17,2011.0,10.0,21.0,3.0,16.0,37.8158,2011.0,25.8,n.a,3.0
18,2011.0,12.0,30.0,15.0,34.0,32.182,2011.0,19.6,n.a,3.5
19,2012.0,5.0,13.0,12.0,38.0,38.8095,2012.0,4.2,n.a,3.1
20,2012.0,5.0,22.0,15.0,6.0,32.6886,2012.0,14.8,n.a,3.2
21,2012.0,7.0,1.0,7.0,54.0,32.193,2012.0,2.5,n.a,3.0
22,2012.0,8.0,26.0,22.0,58.0,32.9371,2012.0,11.7,n.a,3.2
23,2012.0,8.0,28.0,2.0,1.0,33.0071,2012.0,14.6,n.a,3.5
24,2012.0,10.0,19.0,2.0,51.0,32.1106,2012.0,8.5,n.a,3.3
25,2013.0,9.0,14.0,10.0,25.0,32.3812,2013.0,12.4,n.a,3.2
26,2014.0,6.0,2.0,2.0,36.0,34.0874,2014.0,9.7,n.a,3.3
27,2014.0,12.0,4.0,5.0,24.0,41.8481,2014.0,5.5,n.a,3.3
28,2016.0,2.0,16.0,9.0,24.0,34.2976,2016.0,6.9,n.a,3.0
29,2016.0,7.0,18.0,5.0,53.0,36.6753,2016.0,10.5,n.a,3.2
30,2016.0,7.0,31.0,16.0,21.0,32.9607,2016.0,16.2,n.a,3.3
31,2016.0,9.0,26.0,14.0,31.0,33.2822,2016.0,24.2,n.a,3.5
32,2017.0,1.0,27.0,19.0,8.0,38.7995,2017.0,6.7,n.a,3.4
