year;month;day;hour;minutes;seconds;lat;lon;depth;mb
1970;9;12;14;30;52.02;34.12310;117.59150;4.0;5.3
1971;2;9;14;0;41.66;34.27400;118.41260;8.4;6.4
1973;2;21;14;45;57.33;34.05260;119.07680;9.0;5.6
1973;8;6;23;29;14.62;33.87540;119.50520;0.2;4.4
1973;11;12;3;39;39.13;39.33460;123.33310;13.3;4.3
1974;11;28;23;1;25.26;36.82760;121.62660;9.8;4.8
1975;8;1;16;27;17.63;39.45280;121.58640;3.6;5.0
1975;8;1;20;20;14.73;39.54140;121.50350;9.8;6.0
1975;8;2;20;22;16.19;39.40690;121.58990;0.3;5.4
1975;8;3;1;3;5.08;39.44280;121.63600;4.4;5.0
1975;8;6;3;50;29.55;39.46160;121.65570;7.4;5.2
1975;8;8;7;0;49.35;39.46560;121.59530;3.0;4.9
1975;9;27;22;34;39.6;39.50950;121.60930;19.6;5.2
1975;11;15;3;35;1.32;39.39860;121.63650;6.8;4.3
1978;8;13;22;54;52.38;34.23220;119.82770;6.4;5.5
1978;10;4;16;42;49.38;37.41930;118.65780;6.5;5.4
1979;3;15;20;17;51.64;34.29700;116.45610;7.7;5.1
1979;5;8;5;11;7.21;37.28650;121.68160;2.5;4.3
1979;8;6;17;5;23.69;37.09970;121.55000;6.4;5.4
1979;10;15;23;16;59.6;32.61750;115.69310;11.6;5.6
1979;10;16;23;16;33.38;33.00610;115.55460;8.6;5.3
1980;1;24;19;0;11.22;37.70180;121.88150;14.3;5.3
1980;1;27;2;33;37.66;37.72780;121.76610;18.2;5.0
1980;5;25;16;33;47.35;37.53610;118.90400;6.0;6.2
1980;5;25;16;49;28.43;37.49590;119.04850;3.3;5.6
1980;5;25;19;44;53.18;37.41480;118.84480;4.9;5.6
1980;5;25;20;35;50.91;37.48750;118.82090;7.6;5.3
1980;5;27;14;50;59.31;37.40590;118.77550;7.4;5.8
1980;6;9;3;28;20.97;32.24890;115.02010;1.4;5.7
1980;9;7;4;36;39.84;38.04410;118.56760;11.9;4.9
1981;1;15;12;47;51.96;37.30350;121.77720;7.5;4.8
1981;4;26;12;9;31.12;33.00210;115.74520;8.2;5.6
1981;9;30;11;53;28.55;37.54320;118.80350;4.1;5.7
1982;10;25;22;26;5.19;36.26420;120.49730;12.6;5.5
1982;10;25;23;12;18.26;36.30020;120.57690;14.5;4.2
1983;1;7;1;38;12.15;37.52320;118.99480;4.1;5.2
1983;1;7;3;24;22.67;37.56090;119.08540;13.0;5.1
1983;5;2;23;42;40.56;36.23580;120.29030;15.3;6.2
1983;5;3;0;57;44.68;36.22870;120.33770;9.9;5.2
1983;5;9;2;49;12.47;36.21370;120.31790;16.8;5.2
1983;6;11;3;9;54.24;36.23240;120.47400;4.3;5.4
1983;7;22;2;39;56.35;36.22580;120.33800;14.5;6.0
1983;7;22;3;43;2.19;36.16690;120.41850;12.7;5.3
1983;7;25;22;31;41.31;36.14610;120.41420;16.3;5.8
1984;1;23;5;40;22.41;36.43740;121.84320;12.4;5.1
1984;4;24;21;15;20.8;37.27420;121.70970;9.1;5.8
1984;11;23;18;8;27.47;37.44890;118.54560;5.6;5.7
1984;11;26;16;21;50.34;37.33600;118.70400;14.3;5.1
1985;8;4;12;1;58.05;36.12270;120.13500;7.3;5.4
1986;1;26;19;20;53.13;36.77700;121.31560;10.8;5.4
1986;3;10;15;33;14.9;34.30390;119.87650;16.6;4.4
