year; month;day;hour;minutes;lat;lon;depth;mb;mw
1977;11;22;21;15;39.4549;-123.3473;10;5.4;5.2
1978;8;13;22;54;34.2322;-119.8277;6.4;5.5;5.8
1978;10;4;16;42;37.4193;-118.6578;6.5;5.4;5.4
1979;3;15;21;7;34.1438;-116.514;10;5.6;5.5
1979;8;6;17;5;37.0997;-121.55;6.4;5.4;5.7
1979;10;15;23;17;32.6175;-115.6931;11.6;5.6;6.5
1979;10;16;6;19;32.7593;-115.8077;12;4.7;5.1
1979;10;16;6;58;32.8195;-115.6033;14;5.1;5.6
1980;1;24;19;0;37.7018;-121.8815;14.3;5.3;5.8
1980;5;25;16;33;37.5361;-118.904;6;6.2;6.2
1980;5;25;19;44;37.4148;-118.8448;4.9;5.6;5.9
1980;5;27;14;50;37.4059;-118.7755;7.4;5.8;5.8
1980;6;9;3;28;32.2489;-115.0201;1.4;5.7;6.3
1980;8;1;16;38;37.5029;-118.8884;5;4.7;5.2
1980;9;7;4;36;38.0441;-118.5676;11.9;4.9;5.3
1981;4;26;12;9;33.0021;-115.7452;8.2;5.6;5.9
1981;9;4;15;50;33.6824;-119.127;10;5.5;5.8
1981;9;30;11;53;37.5432;-118.8035;4.1;5.7;5.6
1982;10;25;22;26;36.2642;-120.4973;12.6;5.5;5.4
1983;1;7;1;38;37.5232;-118.9948;4.1;5.2;5.3
1983;1;7;3;24;37.5609;-119.0854;13;5.1;5.3
1983;5;2;23;42;36.2358;-120.2903;15.3;6.2;6.3
1983;6;11;3;9;36.2324;-120.474;4.3;5.4;5.4
1983;7;9;7;40;36.2218;-120.4117;14;5.3;5.1
1983;7;22;2;39;36.2258;-120.338;14.5;6;5.7
1983;7;25;22;31;36.1461;-120.4142;16.3;5.8;5.2
1984;4;24;21;15;37.2742;-121.7097;9.1;5.8;6.2
1984;11;23;18;8;37.4489;-118.5456;5.6;5.7;5.8
1984;11;26;16;21;37.336;-118.704;14.3;5.1;5.1
1985;8;4;12;1;36.1227;-120.135;7.3;5.4;6.1
1986;1;26;19;20;36.777;-121.3156;10.8;5.4;5.4
1986;3;31;11;55;37.5115;-121.618;8;5.5;5.6
1986;7;8;9;20;34.0135;-116.7654;8.5;5.9;6
1986;7;13;13;47;32.8844;-117.9179;10.8;5.7;5.8
1986;7;20;14;29;37.4978;-118.4435;5.1;5.7;5.8
1986;7;21;14;42;37.546;-118.4652;10.5;6.1;6.2
1986;7;21;22;7;37.5686;-118.4912;7.9;5.6;5.4
1986;7;31;7;22;37.4183;-118.3764;2.2;5.6;5.5
1987;2;7;3;45;32.3569;-115.3095;1.9;5.5;5.5
1987;2;14;7;26;36.1459;-120.344;12.8;5.3;5.2
