year,month,day,hour,minutes,lat,lon,depth,mb,ms
1970,9,12,14,30,34.1231,117.5915,4.0,5.3,n.a
1971,2,9,14,0,34.274,118.4126,8.4,6.4,n.a
1973,2,21,14,45,34.0526,119.0768,9.0,5.6,n.a
1973,8,6,23,29,33.8754,119.5052,0.2,4.4,n.a
1973,11,12,3,39,39.3346,123.3331,13.3,4.3,n.a
1974,11,28,23,1,36.8276,121.6266,9.8,4.8,n.a
1975,8,1,16,27,39.4528,121.5864,3.6,5.0,n.a
1975,8,1,20,20,39.5414,121.5035,9.8,6.0,n.a
1975,8,2,20,22,39.4069,121.5899,0.3,5.4,n.a
1975,8,3,1,3,39.4428,121.636,4.4,5.0,n.a
1975,8,6,3,50,39.4616,121.6557,7.4,5.2,n.a
1975,8,8,7,0,39.4656,121.5953,3.0,4.9,n.a
1975,9,27,22,34,39.5095,121.6093,19.6,5.2,n.a
1975,11,15,3,35,39.3986,121.6365,6.8,4.3,n.a
1978,8,13,22,54,34.2322,119.8277,6.4,5.5,n.a
1978,10,4,16,42,37.4193,118.6578,6.5,5.4,n.a
1979,3,15,20,17,34.297,116.4561,7.7,5.1,n.a
1979,5,8,5,11,37.2865,121.6816,2.5,4.3,n.a
1979,8,6,17,5,37.0997,121.55,6.4,5.4,n.a
1979,10,15,23,16,32.6175,115.6931,11.6,5.6,n.a
1979,10,16,23,16,33.0061,115.5546,8.6,5.3,n.a
1980,1,24,19,0,37.7018,121.8815,14.3,5.3,n.a
1980,1,27,2,33,37.7278,121.7661,18.2,5.0,n.a
1980,5,25,16,33,37.5361,118.904,6.0,6.2,n.a
1980,5,25,16,49,37.4959,119.0485,3.3,5.6,n.a
1980,5,25,19,44,37.4148,118.8448,4.9,5.6,n.a
1980,5,25,20,35,37.4875,118.8209,7.6,5.3,n.a
1980,5,27,14,50,37.4059,118.7755,7.4,5.8,n.a
1980,6,9,3,28,32.2489,115.0201,1.4,5.7,n.a
1980,9,7,4,36,38.0441,118.5676,11.9,4.9,n.a
1981,1,15,12,47,37.3035,121.7772,7.5,4.8,n.a
1981,4,26,12,9,33.0021,115.7452,8.2,5.6,n.a
1981,9,30,11,53,37.5432,118.8035,4.1,5.7,n.a
1982,10,25,22,26,36.2642,120.4973,12.6,5.5,n.a
1982,10,25,23,12,36.3002,120.5769,14.5,4.2,n.a
1983,1,7,1,38,37.5232,118.9948,4.1,5.2,n.a
1983,1,7,3,24,37.5609,119.0854,13.0,5.1,n.a
1983,5,2,23,42,36.2358,120.2903,15.3,6.2,n.a
1983,5,3,0,57,36.2287,120.3377,9.9,5.2,n.a
1983,5,9,2,49,36.2137,120.3179,16.8,5.2,n.a
1983,6,11,3,9,36.2324,120.474,4.3,5.4,n.a
1983,7,22,2,39,36.2258,120.338,14.5,6.0,n.a
1983,7,22,3,43,36.1669,120.4185,12.7,5.3,n.a
1983,7,25,22,31,36.1461,120.4142,16.3,5.8,n.a
1984,1,23,5,40,36.4374,121.8432,12.4,5.1,n.a
1984,4,24,21,15,37.2742,121.7097,9.1,5.8,n.a
1984,11,23,18,8,37.4489,118.5456,5.6,5.7,n.a
1984,11,26,16,21,37.336,118.704,14.3,5.1,n.a
1985,8,4,12,1,36.1227,120.135,7.3,5.4,n.a
1986,1,26,19,20,36.777,121.3156,10.8,5.4,n.a
1986,3,10,15,33,34.3039,119.8765,16.6,4.4,n.a
1986,3,31,11,55,37.5115,121.618,8.0,5.5,n.a
1986,7,8,9,20,34.0135,116.7654,8.5,5.9,n.a
1986,7,13,13,47,32.8844,117.9179,10.8,5.7,n.a
1986,7,20,14,29,37.4978,118.4435,5.1,5.7,n.a
1986,7,21,14,42,37.546,118.4652,10.5,6.1,n.a
1986,7,21,22,7,37.5686,118.4912,7.9,5.6,n.a
1986,7,31,7,22,37.4183,118.3764,2.2,5.6,n.a
1987,2,7,3,45,32.3569,115.3095,1.9,5.5,n.a
1987,2,14,7,26,36.1459,120.344,12.8,5.3,n.a
1987,10,1,14,42,33.978,118.1308,17.7,5.8,n.a
1987,10,1,15,12,33.9988,118.1525,12.4,4.7,n.a
1987,11,24,1,54,33.0407,115.7792,2.3,5.8,n.a
1987,11,24,13,15,33.0017,115.9475,7.5,6.0,n.a
1988,2,20,8,39,36.7974,121.3567,6.8,4.3,n.a
1988,6,13,1,45,37.3377,121.7743,7.6,4.8,n.a
1988,6,27,18,43,37.0502,121.9188,6.8,4.7,n.a
1988,7,26,3,26,36.5206,121.1764,2.3,5.0,n.a
1988,11,10,5,8,37.3413,121.7789,4.5,4.5,n.a
1988,12,3,11,38,34.0621,118.1839,4.3,4.4,n.a
1989,1,19,6,53,33.8788,118.715,9.1,5.3,n.a
1989,10,18,0,4,36.9974,121.8545,11.0,6.5,n.a
1989,10,19,10,14,36.9232,121.8796,7.2,4.5,n.a
1989,10,21,0,49,37.0115,121.8644,11.2,4.3,n.a
1989,10,21,22,14,37.0126,121.9743,11.9,4.5,n.a
1990,1,18,11,45,41.1427,123.7201,25.1,5.0,n.a
1990,4,17,22,32,34.0411,117.7662,7.5,4.6,n.a
1990,4,28,4,41,37.8801,121.9931,8.6,4.4,n.a
1991,6,28,14,43,34.1927,118.0849,11.6,6.0,n.a
1992,4,23,2,25,33.9678,116.4306,4.1,3.8,n.a
1992,4,23,4,50,33.9093,116.4934,9.7,5.8,n.a
1992,5,4,16,19,33.9709,116.4023,5.7,4.3,n.a
1992,5,18,15,44,33.9517,116.4596,4.5,4.7,n.a
1992,6,28,11,57,34.1445,116.6097,10.1,6.2,n.a
1992,6,28,14,43,34.2163,116.9634,14.1,5.5,n.a
1992,6,28,15,5,34.117,116.868,6.4,6.2,n.a
1992,6,29,10,14,36.6882,116.2968,10.2,5.6,n.a
1992,6,29,14,8,34.0004,116.4259,7.0,4.9,n.a
1992,6,29,14,13,33.9549,116.4691,11.3,5.2,n.a
1992,6,29,16,1,33.7816,116.3865,9.9,4.8,n.a
1992,6,30,21,49,33.9679,117.1203,16.0,n.a,4.0
1992,7,5,21,18,34.5413,116.4424,5.6,5.3,n.a
1992,7,9,1,43,34.1517,116.9441,3.2,5.6,n.a
1992,7,11,18,14,35.056,118.2006,14.0,5.3,n.a
1992,7,24,18,14,33.7982,116.4107,16.5,4.4,n.a
1993,1,16,6,29,37.0055,121.4656,6.1,4.8,n.a
1993,5,17,23,20,36.988,117.805,21.3,6.1,n.a
1993,5,17,23,51,37.0935,117.7409,3.1,4.1,n.a
1993,5,18,23,48,37.0378,117.8019,7.3,5.1,n.a
1993,5,18,23,57,37.0608,117.7791,3.2,4.6,n.a
1993,5,19,3,20,37.1233,117.7553,5.8,4.5,n.a
1993,5,28,4,47,35.0829,119.127,16.3,4.5,n.a
1993,8,21,1,46,33.9991,116.4203,2.7,4.6,n.a
1993,10,18,21,49,32.0276,118.7321,1.4,4.5,n.a
1993,11,14,12,25,35.9009,120.5663,13.0,4.2,n.a
1994,1,17,12,30,34.1769,118.5846,18.3,6.5,n.a
1994,1,17,15,54,34.2803,118.6855,10.2,4.9,n.a
1994,1,17,23,33,34.2214,118.8305,7.4,5.7,n.a
1994,1,18,0,43,34.2893,118.8079,12.6,5.4,n.a
1994,1,19,21,9,34.2306,118.7833,8.5,4.8,n.a
1994,1,27,17,19,34.2745,118.6092,3.2,4.0,n.a
1994,3,20,21,20,34.0975,118.6377,12.2,5.2,n.a
1994,4,6,19,1,34.1485,117.1591,7.3,4.3,n.a
1994,4,21,16,37,36.2639,120.4804,13.1,4.0,n.a
1994,8,11,2,22,32.3329,115.2761,8.5,4.1,n.a
1994,9,12,12,23,38.8421,119.6999,14.2,5.4,n.a
1994,12,20,10,27,35.8035,120.5721,16.6,4.6,n.a
1995,4,23,8,41,36.5193,121.3417,10.4,4.5,n.a
1995,5,7,11,3,33.8792,116.3465,13.2,4.5,n.a
1995,5,17,2,29,39.8021,122.6567,2.1,4.7,n.a
1995,8,17,22,40,35.7289,117.6811,12.1,5.3,n.a
1995,9,4,14,16,38.6288,122.756,3.9,4.7,n.a
1995,9,20,23,27,35.6991,117.7026,11.8,5.0,n.a
1995,11,29,23,12,36.7635,121.5746,9.0,3.8,n.a
1995,12,23,5,39,38.7666,119.537,1.0,4.5,n.a
1996,1,7,14,32,35.711,117.6865,7.3,4.5,n.a
1996,1,26,13,6,35.7591,117.666,0.0,3.4,n.a
1996,1,30,18,34,34.3179,118.4677,11.0,3.8,n.a
1996,4,19,0,52,36.8515,121.6216,8.2,4.2,n.a
1996,5,21,20,50,37.3431,121.7377,9.3,4.4,n.a
1996,10,23,22,9,34.4243,119.4156,5.1,4.1,n.a
1996,11,27,20,17,35.985,117.6571,8.5,4.5,n.a
1996,12,4,21,21,38.7293,122.7651,0.6,4.0,n.a
1997,1,2,22,36,39.0007,123.0771,3.5,3.7,n.a
1997,1,4,14,58,35.9862,117.6569,6.4,3.2,n.a
1997,4,26,10,37,34.2751,118.7707,17.4,4.8,n.a
1997,4,27,11,9,34.2913,118.7141,14.3,4.6,n.a
1997,7,26,3,14,33.3579,116.3888,2.1,4.0,n.a
1997,8,21,16,11,38.5108,118.5012,1.6,4.0,n.a
1997,8,21,16,36,38.4882,118.565,6.5,4.1,n.a
1997,11,15,6,0,37.2276,117.8031,2.0,4.6,n.a
1997,11,22,1,33,38.8753,123.2091,12.7,3.5,n.a
1997,11,22,17,20,37.6416,118.9871,5.8,4.6,n.a
1997,12,9,1,10,32.3673,115.3016,2.0,3.7,n.a
1998,2,17,22,8,39.9046,120.5744,11.2,3.1,n.a
1998,3,6,5,47,36.012,117.6453,1.9,4.9,n.a
1998,3,11,12,18,33.9024,117.2245,11.2,4.0,n.a
1998,4,24,16,17,38.3995,118.4841,1.5,3.9,n.a
1998,6,9,5,24,37.49,118.9001,11.4,4.6,n.a
1998,7,2,3,39,36.8534,117.5173,2.8,4.8,n.a
1998,7,15,4,53,37.5499,118.8031,9.6,4.8,n.a
1998,7,21,8,38,40.5655,122.3709,28.4,4.2,n.a
1998,8,2,14,45,37.5586,118.8394,0.8,3.8,n.a
1998,8,12,14,10,36.7234,121.5262,7.8,4.8,n.a
1998,10,15,5,5,40.8057,123.6395,41.3,4.0,n.a
1998,11,26,19,49,40.577,122.3921,31.5,4.9,n.a
1998,11,26,22,58,40.5522,122.3416,16.7,4.1,n.a
1998,11,28,4,41,40.5431,122.3921,16.9,4.0,n.a
1998,12,25,5,19,38.6986,122.8027,2.9,3.8,n.a
1999,1,13,13,20,32.7226,115.9504,16.7,3.7,n.a
1999,1,18,8,48,36.6565,121.3,12.6,3.6,n.a
1999,1,24,15,34,39.5606,123.6345,21.5,3.8,n.a
1999,1,25,18,52,36.8001,115.9841,3.8,3.8,n.a
1999,3,23,18,36,36.6138,121.415,3.8,3.6,n.a
1999,5,15,13,22,37.4799,118.8093,3.9,5.0,n.a
1999,7,11,18,20,35.709,118.575,9.1,4.5,n.a
1999,8,1,16,6,37.3632,117.1033,8.2,5.7,n.a
1999,8,1,16,11,37.4603,117.0632,13.5,4.7,n.a
1999,8,1,16,27,37.3587,117.1386,10.2,4.7,n.a
1999,8,18,1,6,37.8808,122.7151,7.7,5.1,n.a
1999,8,24,13,4,32.0307,114.6642,7.2,4.7,n.a
1999,9,10,13,40,32.2718,115.183,4.3,4.7,n.a
1999,9,22,22,27,38.3342,122.6885,10.8,3.9,n.a
1999,9,29,6,22,41.3391,123.4216,43.2,3.9,n.a
1999,10,16,9,46,34.5724,116.3471,2.3,6.3,n.a
1999,12,12,18,12,39.6414,118.3687,2.1,4.1,n.a
2000,1,10,21,41,38.6777,122.9282,5.0,3.8,n.a
2000,2,21,13,49,33.9342,117.3089,4.2,3.4,n.a
2000,4,9,10,48,32.611,115.4131,11.0,3.5,n.a
2000,4,25,14,6,32.1249,115.11,15.1,4.2,n.a
2000,5,2,6,45,32.1686,115.0287,11.8,4.5,n.a
2000,5,2,7,16,32.196,115.0527,10.5,4.3,n.a
2000,5,17,22,32,39.3796,123.0649,9.9,3.9,n.a
2000,5,24,23,51,39.3868,122.9504,6.0,3.2,n.a
2000,9,3,8,36,38.3516,122.4021,7.3,4.7,n.a
2000,11,19,12,54,40.4793,119.4949,9.4,4.1,n.a
2000,12,8,7,41,38.7097,122.7999,6.7,3.7,n.a
2000,12,20,22,55,40.9692,121.7535,6.6,3.2,n.a
2000,12,20,23,39,40.9982,121.7416,1.1,4.3,n.a
2001,2,2,23,3,39.707,122.7069,7.0,3.9,n.a
2001,5,15,2,39,35.7331,121.3131,4.4,3.8,n.a
2001,7,19,21,50,38.7244,122.7673,2.6,4.1,n.a
2001,8,10,20,19,39.8282,120.6727,19.0,4.7,n.a
2001,8,11,12,1,39.7777,120.6827,3.2,3.7,n.a
2001,10,31,7,56,33.5063,116.5656,9.1,5.1,n.a
2001,12,7,14,29,38.9956,123.2198,7.3,4.0,n.a
2001,12,8,23,36,32.0422,114.9992,11.9,5.4,n.a
2001,12,9,1,42,32.1109,115.0086,10.5,4.8,n.a
2001,12,14,9,41,39.0294,123.2307,5.7,3.7,n.a
2001,12,28,21,14,36.5327,121.3436,2.8,4.3,n.a
2002,1,29,6,7,34.2494,118.7342,1.2,3.5,n.a
2002,2,22,20,33,32.32,115.3161,12.4,3.5,n.a
2002,9,3,7,8,33.7493,117.9688,2.3,4.3,n.a
2002,11,12,16,48,35.8845,120.6296,8.0,4.3,n.a
2002,12,10,21,3,32.1955,115.7542,0.7,4.5,n.a
2003,1,7,22,29,36.7648,121.4667,8.7,4.0,n.a
2003,2,2,18,22,37.7046,121.9629,13.4,3.8,n.a
2003,4,22,10,46,40.5752,123.9548,27.9,3.9,n.a
2003,11,23,12,20,40.6359,115.0862,2.3,4.1,n.a
2003,12,22,19,15,35.6497,121.1455,12.2,6.1,n.a
2004,3,9,19,54,32.3967,115.2333,10.3,3.9,n.a
2004,6,3,8,54,39.3244,119.9903,10.3,4.1,n.a
2004,6,15,22,28,32.3064,117.8422,6.9,5.0,n.a
2004,8,22,1,25,32.38,115.2115,3.4,4.0,n.a
2004,9,28,17,15,35.7625,120.3275,7.9,5.3,n.a
2004,9,29,17,10,35.9444,120.519,16.0,5.0,n.a
2004,12,12,9,13,40.6865,123.7202,29.6,4.0,n.a
2005,5,21,0,39,33.2508,116.1379,13.6,5.6,n.a
2005,6,12,15,41,33.495,116.5982,10.0,5.0,n.a
2005,8,31,22,47,33.1623,115.6437,1.7,4.3,n.a
2005,9,2,1,27,33.1526,115.6508,10.7,4.9,n.a
2005,10,18,7,31,33.9819,116.7275,0.2,4.0,n.a
2006,3,3,12,49,38.9624,123.1019,8.4,3.3,n.a
2006,4,1,12,26,36.4936,121.1573,12.3,4.2,n.a
2006,4,7,1,6,35.6424,121.2215,8.0,4.1,n.a
2006,5,5,6,36,38.2497,118.7483,3.5,5.0,n.a
2006,5,24,4,20,32.4179,115.2672,7.0,5.1,n.a
2006,5,27,10,21,32.3929,115.2594,26.4,n.a,3.4
2006,5,28,7,40,32.3636,115.1981,2.1,n.a,3.5
2006,6,15,12,24,37.0762,121.5104,6.1,4.2,n.a
2006,8,3,3,8,38.3538,122.5703,14.6,4.5,n.a
2006,11,3,15,56,32.696,116.045,15.3,4.8,n.a
2006,12,15,19,21,36.1635,120.2692,18.1,3.6,n.a
2006,12,16,6,14,36.197,120.2334,13.8,3.8,n.a
2007,3,2,4,40,37.8843,122.1081,12.4,4.0,n.a
2007,4,18,8,42,39.4483,123.1233,12.5,4.6,n.a
2007,4,24,21,8,38.7514,122.8159,10.2,n.a,4.0
2007,5,22,11,34,35.8448,120.4311,15.8,5.1,n.a
2007,6,12,7,23,37.5086,118.9005,7.7,4.5,n.a
2007,7,2,19,58,36.831,121.6583,8.7,4.0,n.a
2007,8,9,7,58,34.2529,118.6524,3.2,4.5,n.a
2007,9,2,17,29,33.5883,117.6011,16.4,4.7,n.a
2007,10,16,8,53,34.3623,117.6309,10.0,4.3,n.a
2007,10,24,12,22,35.8302,117.675,11.2,4.0,n.a
2007,10,31,3,4,37.4195,121.8415,14.0,5.2,n.a
2008,2,9,7,12,32.4429,115.3227,11.7,5.1,n.a
2008,2,11,18,29,32.4425,115.3061,11.5,4.9,n.a
2008,2,12,4,32,32.4713,115.3113,10.6,4.7,n.a
2008,2,12,9,27,32.4562,115.3385,15.4,4.0,n.a
2008,2,19,22,41,32.4884,115.3298,10.6,4.7,n.a
2008,2,21,14,16,41.1418,114.8616,8.9,5.6,n.a
2008,2,21,14,34,40.9328,114.581,11.6,4.5,n.a
2008,2,21,15,34,41.1015,114.9386,4.0,3.7,n.a
2008,2,21,23,57,41.1253,114.9071,11.3,4.6,n.a
2008,2,22,1,50,41.1071,114.9046,1.6,4.0,n.a
2008,2,22,19,31,32.4567,115.324,8.3,4.6,n.a
2008,2,22,23,27,41.1171,114.9034,9.6,4.5,n.a
2008,3,29,22,1,32.4203,115.236,17.8,3.4,n.a
2008,4,1,13,16,41.2108,114.8232,10.9,4.2,n.a
2008,4,22,20,40,41.2055,114.8214,10.4,n.a,4.2
2008,4,23,1,55,34.8563,116.318,6.3,n.a,4.4
2008,4,26,6,40,39.4903,119.9575,2.1,4.7,n.a
2008,4,30,3,3,40.8279,123.4722,33.6,5.4,n.a
2008,5,1,8,11,35.4595,118.3988,4.3,4.5,n.a
2008,6,8,17,55,39.4808,120.0157,2.5,4.0,n.a
2008,6,13,18,31,40.4538,119.8228,4.6,4.0,n.a
2008,7,29,18,42,33.901,117.8228,15.7,5.4,n.a
2008,9,6,4,0,37.7569,122.0122,14.1,4.9,n.a
2008,10,2,9,41,34.0836,116.968,15.2,3.8,n.a
2008,11,20,19,23,32.4232,115.3667,16.5,4.7,n.a
2008,12,21,17,35,36.6263,121.386,17.4,3.9,n.a
2008,12,26,12,19,39.9191,120.9407,11.9,4.2,n.a
